"GEOCODE","var_pl94_use","count"
"440070001024048","tot_a18p_r1_na_hl_n",0
"440070001024048","tot_a18p_r1_a_hl_n",0
"440070001024048","tot_a18p_r1_pi_hl_n",0
"440070001024048","tot_a18p_r1_o_hl_n",0
"440070001024048","tot_a18p_r2p_all_hl_n",0
"440070001022007","tot_a0p",8
"440070001022007","tot_a0p_r1_all",8
"440070001022007","tot_a0p_r1_w",0
"440070001022007","tot_a0p_r1_b",0
"440070001022007","tot_a0p_r1_na",0
"440070001022007","tot_a0p_r1_a",8
"440070001022007","tot_a0p_r1_pi",0
"440070001022007","tot_a0p_r1_o",0
"440070001022007","tot_a0p_r2p_all",0
"440070001022007","tot_a0p_hl_yn",8
"440070001022007","tot_a0p_hl_y",0
"440070001022007","tot_a0p_hl_n",8
"440070001022007","tot_a0p_r1p_all_hl_n",8
"440070001022007","tot_a0p_r1_w_hl_n",0
"440070001022007","tot_a0p_r1_b_hl_n",0
"440070001022007","tot_a0p_r1_na_hl_n",0
"440070001022007","tot_a0p_r1_a_hl_n",8
"440070001022007","tot_a0p_r1_pi_hl_n",0
"440070001022007","tot_a0p_r1_o_hl_n",0
"440070001022007","tot_a0p_r2p_all_hl_n",0
"440070001022007","tot_a18p",8
"440070001022007","tot_a18p_r1_all",8
"440070001022007","tot_a18p_r1_w",0
"440070001022007","tot_a18p_r1_b",0
"440070001022007","tot_a18p_r1_na",0
"440070001022007","tot_a18p_r1_a",8
"440070001022007","tot_a18p_r1_pi",0
"440070001022007","tot_a18p_r1_o",0
"440070001022007","tot_a18p_r2p_all",0
"440070001022007","tot_a18p_hl_yn",8
"440070001022007","tot_a18p_hl_y",0
"440070001022007","tot_a18p_hl_n",8
"440070001022007","tot_a18p_r1p_all_hl_n",8
"440070001022007","tot_a18p_r1_w_hl_n",0
"440070001022007","tot_a18p_r1_b_hl_n",0
"440070001022007","tot_a18p_r1_na_hl_n",0
"440070001022007","tot_a18p_r1_a_hl_n",8
"440070001022007","tot_a18p_r1_pi_hl_n",0
"440070001022007","tot_a18p_r1_o_hl_n",0
"440070001022007","tot_a18p_r2p_all_hl_n",0
"440070001023009","tot_a0p",73
"440070001023009","tot_a0p_r1_all",55
"440070001023009","tot_a0p_r1_w",0
"440070001023009","tot_a0p_r1_b",55
"440070001023009","tot_a0p_r1_na",0
"440070001023009","tot_a0p_r1_a",0
"440070001023009","tot_a0p_r1_pi",0
"440070001023009","tot_a0p_r1_o",0
"440070001023009","tot_a0p_r2p_all",18
"440070001023009","tot_a0p_hl_yn",73
"440070001023009","tot_a0p_hl_y",55
"440070001023009","tot_a0p_hl_n",18
"440070001023009","tot_a0p_r1p_all_hl_n",0
"440070001023009","tot_a0p_r1_w_hl_n",0
"440070001023009","tot_a0p_r1_b_hl_n",0
"440070001023009","tot_a0p_r1_na_hl_n",0
"440070001023009","tot_a0p_r1_a_hl_n",0
"440070001023009","tot_a0p_r1_pi_hl_n",0
"440070001023009","tot_a0p_r1_o_hl_n",0
"440070001023009","tot_a0p_r2p_all_hl_n",18
"440070001023009","tot_a18p",73
"440070001023009","tot_a18p_r1_all",55
"440070001023009","tot_a18p_r1_w",0
"440070001023009","tot_a18p_r1_b",55
"440070001023009","tot_a18p_r1_na",0
"440070001023009","tot_a18p_r1_a",0
"440070001023009","tot_a18p_r1_pi",0
"440070001023009","tot_a18p_r1_o",0
"440070001023009","tot_a18p_r2p_all",18
"440070001023009","tot_a18p_hl_yn",73
"440070001023009","tot_a18p_hl_y",55
"440070001023009","tot_a18p_hl_n",18
"440070001023009","tot_a18p_r1p_all_hl_n",0
"440070001023009","tot_a18p_r1_w_hl_n",0
"440070001023009","tot_a18p_r1_b_hl_n",0
"440070001023009","tot_a18p_r1_na_hl_n",0
"440070001023009","tot_a18p_r1_a_hl_n",0
"440070001023009","tot_a18p_r1_pi_hl_n",0
"440070001023009","tot_a18p_r1_o_hl_n",0
"440070001023009","tot_a18p_r2p_all_hl_n",18
"440070001014007","tot_a0p",112
"440070001014007","tot_a0p_r1_all",112
"440070001014007","tot_a0p_r1_w",43
"440070001014007","tot_a0p_r1_b",3
"440070001014007","tot_a0p_r1_na",0
"440070001014007","tot_a0p_r1_a",0
"440070001014007","tot_a0p_r1_pi",0
"440070001014007","tot_a0p_r1_o",66
"440070001014007","tot_a0p_r2p_all",0
"440070001014007","tot_a0p_hl_yn",112
"440070001014007","tot_a0p_hl_y",100
"440070001014007","tot_a0p_hl_n",12
"440070001014007","tot_a0p_r1p_all_hl_n",12
"440070001014007","tot_a0p_r1_w_hl_n",9
"440070001014007","tot_a0p_r1_b_hl_n",3
"440070001014007","tot_a0p_r1_na_hl_n",0
"440070001014007","tot_a0p_r1_a_hl_n",0
"440070001014007","tot_a0p_r1_pi_hl_n",0
"440070001014007","tot_a0p_r1_o_hl_n",0
"440070001014007","tot_a0p_r2p_all_hl_n",0
"440070001014007","tot_a18p",112
"440070001014007","tot_a18p_r1_all",112
"440070001014007","tot_a18p_r1_w",43
